# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
36112	10	1.00000	0.00000	0.00000	0.99232	0.00378	0.00052	0.01536	0.01513	0.00104	0.98464	0.01513	0.00104	0.00768	0.00378	0.00052	0.99232	0.00378	0.00052	0.01536	0.01513	0.00104	0.00000	0.00000	0.00000
36129	10	1.00000	0.00000	0.00000	0.99249	0.00370	0.00052	0.01501	0.01479	0.00103	0.98499	0.01479	0.00103	0.00751	0.00370	0.00052	0.99249	0.00370	0.00052	0.01501	0.01479	0.00103	0.00000	0.00000	0.00000
36144	11	1.00000	0.00000	0.00000	0.99241	0.00374	0.00052	0.01519	0.01496	0.00104	0.98481	0.01496	0.00104	0.00759	0.00374	0.00052	0.99241	0.00374	0.00052	0.01519	0.01496	0.00104	0.00000	0.00000	0.00000
36145	14	1.00000	0.00000	0.00000	0.99209	0.00389	0.00053	0.01582	0.01557	0.00106	0.98418	0.01557	0.00106	0.00791	0.00389	0.00053	0.99209	0.00389	0.00053	0.01582	0.01557	0.00106	0.00000	0.00000	0.00000
36156	9	1.00000	0.00000	0.00000	0.99150	0.00418	0.00055	0.01699	0.01670	0.00110	0.98301	0.01670	0.00110	0.00850	0.00418	0.00055	0.99150	0.00418	0.00055	0.01699	0.01670	0.00110	0.00000	0.00000	0.00000
36212	32	1.00000	0.00000	0.00000	0.99110	0.00437	0.00056	0.01781	0.01749	0.00112	0.98219	0.01749	0.00112	0.00890	0.00437	0.00056	0.99110	0.00437	0.00056	0.01781	0.01749	0.00112	0.00000	0.00000	0.00000
36217	41	1.00000	0.00000	0.00000	0.99118	0.00433	0.00056	0.01765	0.01734	0.00112	0.98235	0.01734	0.00112	0.00882	0.00433	0.00056	0.99118	0.00433	0.00056	0.01765	0.01734	0.00112	0.00000	0.00000	0.00000
34887	60	1.00000	0.00000	0.00000	0.98427	0.00762	0.00074	0.03147	0.03048	0.00149	0.96853	0.03048	0.00149	0.01573	0.00762	0.00074	0.98427	0.00762	0.00074	0.03147	0.03048	0.00149	0.00000	0.00000	0.00000
36249	25	1.00000	0.00000	0.00000	0.99149	0.00418	0.00055	0.01702	0.01673	0.00110	0.98298	0.01673	0.00110	0.00851	0.00418	0.00055	0.99149	0.00418	0.00055	0.01702	0.01673	0.00110	0.00000	0.00000	0.00000
5633	186	1.00000	0.00000	0.00000	0.98309	0.00817	0.00077	0.03381	0.03267	0.00155	0.96619	0.03267	0.00155	0.01691	0.00817	0.00077	0.98309	0.00817	0.00077	0.03381	0.03267	0.00155	0.00000	0.00000	0.00000
5157	12	1.00000	0.00000	0.00000	0.98819	0.00576	0.00065	0.02361	0.02306	0.00129	0.97639	0.02306	0.00129	0.01181	0.00576	0.00065	0.98819	0.00576	0.00065	0.02361	0.02306	0.00129	0.00000	0.00000	0.00000
5192	29	1.00000	0.00000	0.00000	0.98842	0.00566	0.00064	0.02316	0.02263	0.00128	0.97684	0.02263	0.00128	0.01158	0.00566	0.00064	0.98842	0.00566	0.00064	0.02316	0.02263	0.00128	0.00000	0.00000	0.00000
