Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
125000	-7313.070202153517	-7291.277358320894	-21.792843832623667	0.23218332878957207	6.141400119694988	9.256832909225581E-4
127500	-7307.476269692579	-7292.159527308797	-15.316742383781786	0.2483664369306564	4.316714722389121	0.0010499177365286938
130000	-7308.4682682614275	-7293.541775546685	-14.92649271474283	0.49695015447774826	3.2547024759349306	0.00138502110610487
132500	-7310.17039161522	-7293.837562868475	-16.332828746745136	0.15433954907536399	4.397843985667777	0.0014227986558363812
135000	-7318.651719550916	-7304.324300876035	-14.327418674880853	0.24237021705537898	4.285415550612804	6.66984758806032E-4
137500	-7305.6121803967635	-7290.859109001574	-14.753071395189428	0.37945497420743	3.7862243533663213	0.0016360198732771778
140000	-7305.2758306017395	-7290.548008198026	-14.727822403714065	0.24007511028729217	3.400864174910248	0.001399153039570207
142500	-7303.694164108217	-7289.72962849604	-13.964535612176837	0.2825859486648403	3.683503512322653	0.0012328416393408744
145000	-7308.459790243323	-7292.931237651016	-15.528552592307046	0.15172391452733036	4.209275664290324	9.731392834222805E-4
147500	-7308.605888284683	-7293.318494660253	-15.287393624429349	0.21997671422467321	4.6594763223898115	0.0013230448209759346
150000	-7305.198841877087	-7290.024520269911	-15.174321607176044	0.2153632343330173	4.224500186743222	0.0011478530024937694
152500	-7307.2474801240405	-7291.910534671225	-15.336945452815954	0.2609064820657185	4.123262358885738	0.0012558262151474273
155000	-7309.043311332691	-7292.897225546303	-16.146085786387694	0.2638431604830121	4.913335885099518	8.467722022408329E-4
157500	-7307.9558892258965	-7292.372263636301	-15.583625589596057	0.2039474138453985	3.1684172092251033	0.002114451256141017
160000	-7311.485095564065	-7294.158091032946	-17.327004531118803	0.21441918710184601	4.662543507756969	9.976664119959121E-4
162500	-7310.71053758424	-7295.338399286581	-15.37213829765887	0.3303322779581706	4.440975545699701	8.153293805561924E-4
165000	-7309.8762283829	-7294.992700232729	-14.883528150171259	0.2912516797236147	4.433252630379615	0.0014924952678635908
167500	-7306.697268817907	-7290.331099375214	-16.366169442692414	0.2900729170676809	4.616967790636225	0.0014074515714009805
170000	-7308.2398556470125	-7294.4196809683335	-13.820174678678596	0.31218856838087966	3.4889366011973952	0.001109812456875224
172500	-7306.656939367873	-7290.867727533351	-15.789211834521511	0.1814876649764209	4.667085860273176	0.0015211341860989869
175000	-7304.917750684114	-7288.609364816139	-16.308385867975588	0.16297317037146697	4.469866995938012	0.0013217617629407343
177500	-7308.450692816251	-7291.291950561253	-17.158742254998316	0.2650977472436317	4.947326876661817	0.00107310900757565
180000	-7306.694998380563	-7290.471143648881	-16.22385473168295	0.2722977614007586	4.68989833341026	0.0012586273657939624
182500	-7309.914998327899	-7294.04804870436	-15.866949623539831	0.35821590468932685	4.337924306885586	0.0010074988049698953
185000	-7309.084086159974	-7292.975469183574	-16.108616976399844	0.27734092657576426	4.72171096210951	0.0012469130513484141
187500	-7311.6833167092755	-7292.817346765244	-18.8659699440318	0.1118929521926833	4.834184785383562	0.0010288282654359027
190000	-7309.394635570936	-7291.877967895644	-17.516667675291885	0.1582389678027231	4.892064126235625	0.0010298469561080188
192500	-7307.538270344926	-7291.560439662054	-15.977830682871803	0.3423009507447719	4.347108530458851	0.0011088317110472723
195000	-7305.601111227613	-7290.931326373066	-14.669784854546352	0.34665399345569725	3.8487643517682	0.0015443722283348415
197500	-7305.098814846117	-7290.8450560176325	-14.25375882848535	0.358210455523567	3.620929089000314	0.0017633796422516358
200000	-7307.7612225691255	-7291.184522071396	-16.576700497729465	0.48313126455107086	4.210072964852709	0.0014234501875265725
202500	-7313.699539326119	-7298.045283962473	-15.654255363645653	0.22874946764184265	4.072549631828562	0.0017254512258696889
205000	-7309.998301415947	-7294.615415710942	-15.382885705005027	0.3631477433579491	4.3557196145369135	9.516160823680154E-4
207500	-7305.976224289261	-7290.118704853708	-15.857519435553158	0.32525209455772985	4.358312939831112	0.0011657015856697196
210000	-7310.887651697102	-7293.207175994411	-17.680475702691364	0.11392115718287792	4.475863074003937	0.0014801218937681975
212500	-7309.640176770259	-7295.268050946864	-14.37212582339549	0.26106838609930566	3.893583485731314	0.0012004508824467843
215000	-7303.466251708291	-7289.229327225997	-14.23692448229408	0.26052908313119805	3.4142455629145183	0.001700530400479118
217500	-7314.08405866801	-7299.368374909932	-14.715683758077393	0.38777024095959445	4.161443441033439	0.0012215414472200536
220000	-7307.587747394037	-7291.113531297814	-16.47421609622335	0.18584825310973993	4.526222337512338	0.001675920305783659
222500	-7310.498318266326	-7293.129227078182	-17.369091188144274	0.20545736777623444	4.794050644747845	9.358060259199981E-4
225000	-7309.576795164701	-7293.986814535806	-15.589980628895031	0.3840642987284994	3.861984022688997	0.0013224412986184333
227500	-7309.065453134793	-7293.51843091856	-15.547022216233291	0.26984698085437464	4.657469645558246	0.0013446282537276743
230000	-7311.204076040734	-7294.105470989448	-17.09860505128627	0.6024250714409818	3.7772359513005496	9.399304996562675E-4
232500	-7311.892386761977	-7294.414413875947	-17.47797288603041	0.2370521526489343	4.949708126888562	0.0011617807769179187
235000	-7306.0170246797015	-7290.436603336929	-15.580421342772794	0.2370228115796547	4.205772942628659	0.0014217037694029707
237500	-7306.437027478249	-7291.707284385148	-14.72974309310045	0.183835458389889	3.913072723229465	9.578397255156465E-4
240000	-7306.414659208005	-7291.762911740731	-14.651747467273331	0.2914395776982189	3.9556403047571216	0.0014552527311914364
242500	-7308.180946578078	-7293.181112329307	-14.99983424877096	0.32532880250830104	4.289614514467773	0.0013441419517616637
245000	-7310.41358970814	-7295.566650143065	-14.846939565074782	0.43077758809793665	3.4442854119716055	0.002242621065273672
247500	-7311.005297650002	-7295.574553484628	-15.430744165373303	0.18690970753091277	4.236252813283951	0.0011047857706806413
250000	-7304.592873561434	-7288.737477570753	-15.855395990681616	0.5579022066402931	3.081734314443839	0.001945783115737144
252500	-7306.3789330626105	-7291.35065435908	-15.028278703530706	0.211126221775928	4.356564222460389	0.001350604556868157
255000	-7307.49087668275	-7292.166693204519	-15.324183478231003	0.32802747679240146	4.485850899879981	0.0013022876522769935
257500	-7308.905925351762	-7292.51303844497	-16.392886906791485	0.5490132556812497	3.568154052245601	0.001980814595551564
260000	-7307.609637391724	-7290.495324887917	-17.11431250380707	0.16197582565723492	5.150628966349482	0.0012799095578572492
262500	-7306.679582770955	-7291.142596214588	-15.536986556366681	0.1648458974296329	4.011573427616776	0.001624831216326466
265000	-7307.445600187908	-7289.454933967559	-17.990666220349006	0.22606406388592656	5.217519322835957	9.220104445281099E-4
267500	-7309.526224466538	-7294.872901100846	-14.653323365691787	0.37495793665392835	3.989808634287333	0.00113240077345177
270000	-7307.65033255436	-7293.492698622832	-14.157633931527693	0.29104599573552464	3.733206150109206	0.0011971084310249613
272500	-7312.082262232332	-7295.8918416731	-16.190420559232074	0.18131587137493485	4.769705595436007	9.897980593205511E-4
275000	-7308.457121347124	-7294.188974781448	-14.268146565674812	0.34584621674713073	3.574786627444874	0.001492690233208765
277500	-7306.274322836454	-7291.015334529674	-15.258988306780742	0.3708312206188885	3.9231788326110166	0.0010503915487835248
280000	-7308.929766373838	-7291.846409974978	-17.083356398859785	0.2397715722581025	5.249262246554259	0.0012758466590966
282500	-7305.310355620775	-7289.454379224941	-15.855976395835055	0.3725825076461004	4.122018451359318	0.001467575439979804
285000	-7307.503899548194	-7292.412921170307	-15.090978377887328	0.3016697770150242	4.364283883603337	0.0010937056380430621
287500	-7312.833275864369	-7296.613844858347	-16.21943100602262	0.2582070798957958	4.474901203566411	8.344551604205021E-4
290000	-7306.638034703833	-7292.149648490512	-14.488386213321274	0.2836896979216883	4.04863504366276	0.0010624940250217878
292500	-7314.312130804549	-7300.557356198739	-13.754774605809684	0.2686712321344592	3.277305634262526	0.0010172947466287542
295000	-7311.928093579233	-7295.509386370157	-16.418707209076658	0.5384169635094391	3.6345114598117316	0.002285924527482542
297500	-7305.174083342243	-7290.500236535549	-14.673846806693586	0.323193787880142	4.061920878969993	0.0013447382487462975
300000	-7306.140505108067	-7291.973120729811	-14.167384378256546	0.3248771891708206	3.7668519282468904	0.0013238604375018835
302500	-7313.238118666733	-7295.66292383641	-17.575194830322012	0.23036110058550333	5.356807179773489	0.0010497054311460327
305000	-7307.757158531264	-7292.361828706871	-15.395329824392986	0.282842476156183	4.33048878514174	0.0013158384174566762
307500	-7307.186699002664	-7291.335313002947	-15.851385999716499	0.2127414092562598	4.530039261265432	0.0010281855354366124
310000	-7304.565105269183	-7290.14660610687	-14.418499162312813	0.32039849097304146	3.1345250708528463	0.0014104145144979382
312500	-7304.767914527763	-7290.271647532133	-14.496266995630169	0.36552489660654797	3.3766474136177154	0.0017374211535371791
315000	-7308.700121951841	-7291.3004693872435	-17.39965256459692	0.21053221500585453	5.116993719911867	0.0010760821735519316
317500	-7311.211517655707	-7292.2859554441875	-18.92556221151962	0.15343170415938856	5.082479764003764	0.0010154933305731465
320000	-7315.032026042968	-7300.702755747671	-14.32927029529686	0.3657337634991222	3.7521944103769207	0.0011927018039441734
322500	-7307.381227450097	-7293.134202815388	-14.24702463470901	0.28452023547675065	3.941076051834076	0.001102856673465111
325000	-7313.239274941311	-7294.693436683407	-18.54583825790482	0.5785964882881014	4.101789033129386	8.385234078465974E-4
327500	-7307.072657529961	-7291.309258754099	-15.763398775863134	0.5420323122421596	3.6009985905040214	0.0012298713473901676
330000	-7313.338992742249	-7296.717586178077	-16.621406564171995	0.15673079906993717	4.603903795097191	7.744870885034175E-4
332500	-7307.372409193964	-7290.753903600874	-16.618505593089775	0.35694556910364345	4.399847594341313	0.0013458670450958224
335000	-7305.586190477485	-7291.645660395908	-13.940530081577037	0.3303351396100937	3.754457173898718	0.0010794590994737125
337500	-7310.851821421309	-7294.518827967619	-16.33299345369067	0.566153529560969	3.649025228052015	0.001913349617301337
340000	-7309.3858789475835	-7294.36715877961	-15.018720167973381	0.21009071978082855	3.8057981172133903	0.0018162380582027516
342500	-7308.0910462719485	-7291.170640304598	-16.920405967349996	0.4442602747538202	4.376923097245617	0.001276258616078417
345000	-7317.6765676806535	-7299.960177701049	-17.71638997960376	0.2618839079810569	5.284399091470556	6.687009513028321E-4
347500	-7311.2739238214	-7294.516688116285	-16.757235705114628	0.1260484445517596	4.647836998980952	9.885558191917712E-4
350000	-7309.592504369397	-7294.934119537668	-14.658384831728439	0.4861959139497899	3.001304828443841	0.0013609186807150447
352500	-7314.372913893352	-7300.277898868743	-14.095015024609433	0.22675680591672784	3.5675130997599407	9.427864691237234E-4
355000	-7306.947691145453	-7292.831698133111	-14.115993012342031	0.3342314558056384	3.499877353162224	0.0014871496224010954
357500	-7306.641949646578	-7290.972725197963	-15.669224448614843	0.3468193489949542	4.267549646090808	0.0016278127889822486
360000	-7311.705211067535	-7291.591687815637	-20.1135232518978	0.5381893306198183	4.873154787742852	0.0011116689470598623
362500	-7309.91596856351	-7294.046936249558	-15.869032313953046	0.28837081333166015	4.595595899649273	0.001370386860790304
